talk_id,title,speaker_1,views,recorded_date,published_date,event,comments,duration,Topics
164,What our language habits reveal,Steven Pinker,2475566,07-07-2005,09-09-2007,TEDGlobal 2005,131,1047,"culture, language, psychology, Social Science"
165,"Building ""self-aware"" robots",Hod Lipson,1465739,06-03-2007,11-10-2007,TED2007,242,378,"AI, cognitive science, demo, design, evolution, robots, technology"
167,10 ways the world could end,Stephen Petranek,1941499,02-02-2002,25-09-2007,TED2002,180,1782,"climate change, future, global issues, humanity, space, technology, solar system, science, asteroid"
168,The search for humanity's roots,Zeresenay Alemseged,1126927,07-06-2007,18-09-2007,TEDGlobal 2007,74,951,"Africa, anthropology, exploration, global issues, human origins, humanity, paleontology, science"
170,My journey into movies that matter,Jeff Skoll,819980,03-03-2007,21-08-2007,TED2007,52,931,"business, entertainment, film, global issues, philanthropy, social change, movies"
171,An Iraq war movie crowd-sourced from soldiers,Deborah Scranton,576954,03-03-2007,13-09-2007,TED2007,180,1056,"entertainment, film, global issues, storytelling, technology, war"
172,Designing for simplicity,John Maeda,1522380,03-03-2007,20-09-2007,TED2007,86,959,"art, design, simplicity, technology"
174,My green agenda for architecture,Norman Foster,870918,01-01-2007,24-03-2008,DLD 2007,67,1917,"architecture, cities, green, Best of the Web"
175,Kids can teach themselves,Sugata Mitra,1797841,02-02-2007,27-08-2008,LIFT 2007,182,1259,"children, cities, culture, education, global issues, teaching, Best of the Web"
176,A flight on solar wings,Paul MacCready,870185,02-02-2003,26-09-2007,TED2003,31,1280,"alternative energy, business, design, drones, energy, flight, invention, technology, solar energy"
177,The case for optimism,Larry Brilliant,511467,01-01-2007,21-11-2007,Skoll World Forum 2007,49,1261,"climate change, culture, global issues, health, peace, Best of the Web"
178,This is Saturn,Carolyn Porco,3016364,03-03-2007,01-10-2007,TED2007,236,1029,"NASA, Planets, design, exploration, science, space, technology, universe, visualizations, solar system"
179,My magic moves,Kenichi Ebina,1933784,03-03-2007,03-10-2007,TED2007,103,212,"culture, dance, entertainment, performance"
181,"Life at 30,000 feet",Richard Branson,1899903,03-03-2007,09-10-2007,TED2007,84,1791,"aircraft, business, entertainment, entrepreneur, global issues, interview, music, space, technology"
182,The illustrated woman,Maira Kalman,810413,03-03-2007,16-10-2007,TED2007,48,1050,"art, children, culture, design, entertainment, happiness"
183,Playing with DNA that self-assembles,Paul Rothemund,473404,03-03-2007,08-11-2007,TED2007,43,299,"DNA, MacArthur grant, complexity, computers, science"
184,3 clues to understanding your brain,Vilayanur Ramachandran,5064090,03-03-2007,21-10-2007,TED2007,461,1414,"brain, consciousness, culture, illness, illusion, science, technology"
185,A commodities exchange for Ethiopia,Eleni Gabre-Madhin,778890,06-06-2007,25-10-2007,TEDGlobal 2007,65,1234,"business, economics, food, global issues, technology, women in business, markets"
187,Laws that choke creativity,Lawrence Lessig,2353801,03-03-2007,06-11-2007,TED2007,346,1136,"business, creativity, entertainment, law, technology"
188,"""Tembererana""",Raul Midon,516166,03-03-2007,18-01-2008,TED2007,42,640,"culture, entertainment, guitar, music, singer, technology, live music, performance"
189,How electroshock therapy changed me,Sherwin Nuland,1990522,02-02-2001,30-10-2007,TED2001,318,1338,"brain, depression, health care, illness, medicine, mental health, science, suicide, technology"
190,The anthropology of mobile phones,Jan Chipchase,796345,03-03-2007,18-10-2007,TED2007,152,963,"cities, communication, culture, design, global issues, technology, telecom"
191,The habits of happiness,Matthieu Ricard,9418784,02-02-2004,01-11-2007,TED2004,436,1254,"Buddhism, God, brain, culture, faith, global issues, happiness, peace, photography, religion, psychology, evolutionary psychology, emotions, mindfulness"
192,A critical look at geoengineering against climate change,David Keith,1369137,09-09-2007,13-11-2007,TEDSalon 2007 Hot Science,294,958,"business, china, climate change, engineering, global issues, science, technology"
193,Using biology to rethink the energy challenge,Juan Enriquez,1382578,09-09-2007,15-11-2007,TEDSalon 2007 Hot Science,121,1090,"biodiversity, biotech, business, energy, science, technology"
194,"Beauty, truth and ... physics?",Murray Gell-Mann,1429961,03-03-2007,06-12-2007,TED2007,168,962,"String theory, physics, science, storytelling, technology"
195,The sticky wonder of gecko feet,Robert Full,894701,02-02-2005,27-11-2007,TED2005,31,1164,"design, evolution, robots, science, technology"
196,The music wars,David Pogue,681920,03-03-2007,24-01-2008,TED2007,51,255,"entertainment, humor, music, technology"
197,Design and destiny,Philippe Starck,2276874,03-03-2007,04-12-2007,TED2007,164,1026,"design, humanity, humor, philosophy, storytelling"
198,The fractals at the heart of African designs,Ron Eglash,1749398,06-06-2007,29-11-2007,TEDGlobal 2007,191,1017,"Africa, architecture, culture, design, math, technology"
199,"A performance of ""Mathemagic""",Arthur Benjamin,9659339,02-02-2005,13-12-2007,TED2005,640,914,"education, entertainment, magic, math, performance"
200,Why aren't we more compassionate?,Daniel Goleman,2271985,03-03-2007,18-12-2007,TED2007,186,793,"brain, community, compassion, empathy, psychology"
201,The lost art of letter-writing,Lakshmi Pratury,725078,03-03-2007,20-12-2007,TED2007,84,249,"communication, community, parenting, relationships, writing"
202,5 dangerous things you should let your kids do,Gever Tulley,5082289,03-03-2007,21-12-2007,TED2007,457,558,"children, design, entertainment, parenting, play, sports, technology"
